t,x(t),z(t),v_x(t),v_z(t),a_x(t),a_z(t) (added)
6.919994,6.115846,-2.734128,-1.698091,2.171126,2.958094,-1.18885
6.939994,6.082741,-2.691058,-1.655348,2.153521,2.939934,-1.306341
6.959994,6.050485,-2.648374,-1.612876,2.134243,2.919142,-1.42039
6.979994,6.019073,-2.606108,-1.570713,2.11334,2.895974,-1.530774
6.999994,5.988497,-2.564292,-1.528893,2.090867,2.870678,-1.637293
7.019994,5.95875,-2.522955,-1.487447,2.066879,2.843493,-1.739777
7.039994,5.929824,-2.482128,-1.446401,2.041434,2.814645,-1.838082
7.059994,5.901711,-2.441837,-1.405779,2.014591,2.78435,-1.932092
7.079994,5.874401,-2.40211,-1.365601,1.986413,2.752814,-2.021717
7.099994,5.847885,-2.362972,-1.325885,1.956963,2.720231,-2.106894
7.119994,5.822154,-2.324448,-1.286646,1.926305,2.686783,-2.187585
7.139994,5.797198,-2.286559,-1.247896,1.894502,2.652642,-2.263779
